name	partnerprotein	partnerprotein_textbox	target_order	target_species	activity	taxonid	lc50	units	percentage_mortality	publication	other_citations	life_stage	instar	assay_material	assay_method	comment
Cry1Ab3	No	No	Lepidoptera	Helicoverpa punctigera	Yes	27545	355	ng/cm2		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ab7	No	No	Diptera	Aedes aegypti	Yes	7159			100% mortality at 10 µg/ml 	10.1016/0378-1119(87)90055-2		Larvae	Not Specified	Purified protein	Diet incorporation	Mortality observed after 24 hours
Cry1Ab7	No	No	Lepidoptera	Pieris brassicae	Yes	7116			50% mortality at 10 µg/ml 	10.1016/0378-1119(87)90055-2		Larvae	Not Specified	Purified protein	Diet incorporation	Mortality observed after 20 hours
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	545	ng/cm2		10.1371/journal.pone.0119544		Larvae	2nd Instar	Spore crystal mix	Surface contamination	
Cry1Ac	No	No	Lepidoptera	Agrotis ipsilon	Yes	56364	16.5 µg/cm2	µg/cm2		10.1002/ps.1798				Purified protein	surface contamination	
Cry1Ac	No	No	Lepidoptera	Helicoverpa zea	Yes	7113	1.9 µg/cm2	µg/cm2		10.1002/ps.1798				Purified protein	surface contamination	
Cry1Ac	No	No	Lepidoptera	Leucoptera coffeella	Yes	1178041	1.47	µg/ml		10.1007/pl00006763		Larvae	1st instar	Purified activated protein	Leaf disc injection	
Cry1Ac	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	8800	ng/ml		10.1007/s00253-009-1910-2		Larvae	1st instar	Purified crystals	diet incorporation	
Cry1Ac	No	No	Lepidoptera	Spodoptera exigua	Yes	7107	6800	ng/ml		10.1007/s00253-009-1910-2		Larvae	1st instar	Purified crystals	diet incorporation	
Cry1Ac	No	No	Lepidoptera	Earias vitella	Yes	1372994	59	µg/g			"Pakistan Journal of Zoology Vol. 43	 Iss. 3	 pages 575-580 (2011)"	Larvae	2nd instar	Purified protein	diet incorporation	
Cry1Ac	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	89.8691	µg/ml		10.1007/s00284-008-9112-1		Larvae	1st instar	Spore crystal mix	diet incorporation	LC50 117.778 µg/ml at 48h;  89.8691 µg/ml  at 72h
Cry1Ac	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	8	µg/cm2			"Current Science (1998)	 75(7) p663-664"	Larvae	1st instar	Purified protein	surface contamination	Results presented as EC50.  Synergism with Cry1F reported
Cry1Ac	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	17	ng/cm2		10.1007/s11248-017-0048-8		Larvae	1st instar	Purified protein	surface contamination	LC50 for colonies with resistance to Cry1Ac also measured: % mortalities at different doses also reported
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	47.55	µg/cm2		10.1007/s12010-019-02952-z		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1Ac	No	No	Lepidoptera	Elasmopalpus lignosellus	Yes	1511197	15.6	ng/cm2		10.7717/peerj.2866		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ac	No	No	Lepidoptera	Diatraea flavipennella	Yes	1813784	8.6	ng/cm2		10.7717/peerj.2866		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ac	No	No	Lepidoptera	Ephestia kuehniella	Yes	40079	1326	ng/mg		10.1016/j.biocontrol.2005.06.009		Larvae	3rd instar	Spore crystal mix	diet incorporation	
Cry1Ac	No	No	Lepidoptera	Earias insulana	Yes	1231953	0.35	µg/ml		10.1016/j.biocontrol.2008.07.003		Larvae	1st instar	Purified crystals	diet incorporation	LC50 of 350 ng/ml and 490 ng/ml in repeat assays.  Growth inhibition data EC50 values also presented
Cry1Ac	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	2270	ng/ml		10.1016/j.biocontrol.2008.07.003		Larvae	1st instar	Purified crystals	diet incorporation	LC50 of 2.27 µg/ml and 3.63 g/ml in repeat assays.  Growth inhibition data EC50 values also presented
Cry1Ac	No	No	Lepidoptera	Mythimna separata	Yes	271217	3700	ng/g		10.3390/toxins10110454		Larvae	1st instar		diet incorporation	
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	148.2	ng/cm2		10.3390/insects11120831		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1Ac	No	No	Lepidoptera	Epinotia aporema	Yes	437486	1390	ng/ml		10.1016/j.jip.2006.09.002		Larvae	1st Instar	Purified crystals	diet incorporation	
Cry1Ac	No	No	Lepidoptera	Chrysodeixis includens	Yes	689277	13300	ng/cm2		10.1590/S0100-204X2014000200001¬†		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ac	No	No	Lepidoptera	Anticarsia gemmatalis	Yes	129554	750	ng/cm2		10.1590/S0100-204X2014000200001¬†		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ac	No	No	Lepidoptera	Chilo suppressalis	Yes	168631	4360	ng/g		10.1016/j.jip.2010.05.002		unknown		Purified protein	diet incorporation	
Cry1Ac	No	No	Lepidoptera	Sesamia inferens	Yes	492764	5090	ng/g		10.1016/j.jip.2010.05.002		unknown		Purified protein	diet incorporation	
Cry1Ac	No	No	Hemiptera	Acyrthosiphon pisum	Yes	7029				10.1016/j.jip.2011.02.001		Nymph	2nd Instar	Purified protein	Membrane feeding	Significant mortality at 500 µg/ml
Cry1Ac	No	No	Lepidoptera	Ostrinia furnacalis	Yes	93504	3580	ng/g		10.1371/journal.pone.0168442		Larvae	1st instar		diet incorporation	
Cry1Ac	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	33	ng/cm2		10.1038/srep07714		Larvae	1st instar	Purified crystals	surface contamination	LC50 28 ng/cm2 and 33 ng/cm2 in assays at different generations
Cry1Ac	No	No	Lepidoptera	Heliothis virescens	Yes	7102	40	ng/cm2		10.1371/journal.pone.0107196		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ac	No	No	Lepidoptera	Pectinophora gossypiella	Yes	13191	363	ng/ml		10.1371/journal.pone.0080496		Larvae	1st instar	Diluted whole cell culture	diet incorporation	
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.1371/journal.pone.0068164		Larvae	1st Instar	Purified protein	Surface contamination	greater than 4050 ng/cm2
Cry1Ac	No	No	Lepidoptera	Ostrinia nubilalis	Yes	29057	7	ng/cm2	 	10.1371/journal.pone.0068164		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1Ac	No	No	Lepidoptera	Pectinophora gossypiella	Yes	13191			7.4% at 100 ng/g 	10.1128/AEM.67.1.462-463.2001		Larvae	1st Instar	Diluted whole cell culture	diet incorporation	Mortality observed after 21 days
Cry1Ac	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	0.04	ng/larva		10.1016/j.jip.2014.06.005		Larvae	1st Instar	Purified crystals	droplet feeding	
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.1016/j.jip.2014.08.009		Larvae	1st Instar	Purified crystals	Surface contamination	>2000 ng/cm2
Cry1Ac	No	No	Lepidoptera	Lymantria dispar	Yes	13123	871	ng/larva		10.1128/AEM.62.2.583-586.1996		Larvae	4th instar	Purified crystals	force feeding	
Cry1Ac	No	No	Lepidoptera	Grapholita molesta	Yes	192188	24	ng/cm2		10.1016/j.jip.2016.09.006		Larvae	1st Instar	Purified crystals	surface contamination	
Cry1Ac	No	No	Lepidoptera	Conogethes punctiferalis	Yes	1133088	2.82	ng/cm2	 	10.1016/j.jip.2020.107507 		Larvae	1st Instar 	Purified protein	Surface contamination	
Cry1Ac	No	No	Hemiptera	Macrosiphum euphorbiae	No	13131	"NA	 not toxic"	NA not toxic		10.1111/j.1570-7458.1995.tb02003.x		Adult	Not applicable	Purified protein	Membrane feeding	
Cry1Ac	No	No	Lepidoptera	Chilo partellus	Yes	236792	16.31	ng/cm2		10.1111/j.1472-765X.2010.02856.x		Larvae	4th instar	Purified protein	surface contamination	
Cry1Ac	No	No	Lepidoptera	Spodoptera exigua	No	7107	greater than 40001	ng/cm2		10.1016/S2095-3119(12)60050-1		Larvae	1st Instar	Purified protein	surface contamination	
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	472.6	ng/cm2		10.1093/jee/tox311		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	927.4	ng/cm2		10.1093/jee/tox311		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1Ac	No	No	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.1093/jee/101.2.546		Larvae	1st Instar	Purified protein	Diet incorporation	>100 µg/ml
Cry1Ac	No	No	Lepidoptera	Spodoptera exigua	No	7107	"NA	 not toxic"	NA not toxic		10.1093/jee/101.2.546		Larvae	1st Instar	Purified protein	Diet incorporation	>100 µg/ml
Cry1Ac	No	No	Lepidoptera	Pectinophora gossypiella	Yes	13191	0.012	µg/ml		10.1093/jee/101.2.546		Larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Ac	No	No	Lepidoptera	Heliothis virescens	Yes	7102	0.013	µg/ml		10.1093/jee/101.2.546		Larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Ac	No	No	Lepidoptera	Helicoverpa zea	Yes	7113	0.87	µg/ml		10.1093/jee/101.2.546		Larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Ac	No	No	Hemiptera	Nilaparvata lugens	Yes	108931	198.92 (111.95-255.20)	µg/ml		10.1080/09583157.2018.1455170		Nymph	2nd Instar	Purified protein	Membrane feeding	
Cry1Ac1	No	No	Lepidoptera	Trichoplusia ni	Yes	7111	2412	ng/cm2		10.1128/AEM.65.5.2049-2053.1999		Larvae	1st Instar	Purified crystals		
Cry1Ac1	No	No	Lepidoptera	Helicoverpa armigera	Yes	29059	38-212	ng/cm3		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified protein	surface contamination	Range of LC50 values from different target colonies and repeat assays
Cry1Ac1	No	No	Lepidoptera	Helicoverpa punctigera	Yes	27545	108	ng/cm2		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ac8	No	No	Diptera	Glossina morsitans	Yes	7394	425.3	ng/ml	 	10.1007/s002849900154		Adult	Not specified	Purified protein	Diet incorporation	Toxin was incorporated into Rabbit blood from Oryctolagus cuniculus
Cry1Ah	No	No	Lepidoptera	Mythimna separata	Yes	271217	18700	ng/g		10.3390/toxins10110454		Larvae	1st instar	Purified protein	diet incorporation	
Cry1Ah	No	No	Lepidoptera	Conogethes punctiferalis	Yes	1133088	38.91	ng/cm2	 	10.1016/j.jip.2020.107507 		Larvae	1st Instar 	Purified protein	Surface contamination	
Cry1B	No	No	Lepidoptera	Leucoptera coffeella	Yes	1178041	21.93	µg/ml		10.1007/pl00006763		Larvae	1st instar	Purified activated protein	Leaf disc injection	
Cry1B	No	No	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	greater than 2000 ng/cm2
Cry1B	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	403	ng/cm2		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	Sf strain from Mexico
Cry1B	No	No	Lepidoptera	Spodoptera exigua	Yes	7107	860	ng/cm2		10.1016/S2095-3119(12)60050-1		Larvae	1st Instar		surface contamination	
Cry1Ba	No	No	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.5539/jas.v6n7p128		Larvae	2 day old	Purified protein	diet incorporation	at 100mg/ml
Cry1Ba	No	No	Lepidoptera	Chilo suppressalis	Yes	168631	3290	ng/g		10.1016/j.jip.2010.05.002		unknown		Purified protein	diet incorporation	
Cry1Ba	No	No	Hemiptera	Diaphornia citri	Yes	121845	~120	µg/ml		10.3390/toxins11030173		Adult		Purified protein	Membrane feeding	
Cry1Ba	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	74	ng/cm2		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	Sf strain from Brazil
Cry1Ba	No	No	Lepidoptera	Epinotia aporema	Yes	437486	4700	ng/ml		10.1016/j.jip.2006.09.002		Larvae	1st Instar	Purified crystals	diet incorporation	
Cry1Ba	No	No	Hemiptera	Diaphorina citri	Yes	121845	~120	µg/mL	 	10.3390/toxins11030173		Adult	Not specified	Purified protein	Membrane feeding	
Cry1Ba	No	No	Lepidoptera	Sesamia inferens	Yes	492764	154000	ng/g		10.1016/j.jip.2010.05.002		unknown		Purified protein	diet incorporation	
Cry1Ba1	No	No	Coleoptera	Xylotrechus arvicola	Yes	1971876				10.3390/ insects13010027		Larvae	1st Instar	Purified protein	Surface contamination	Reduced survival time for larvae shown. Some effects on pupal/adult development also shown
Cry1Ba1	No	No	Coleoptera	Chrysomela scripta	Yes	131620	0.15	mg/ml	 	10.1006/jipa.2000.4962		Larvae	Not Specified	Purified protein	Diet incorporation	
Cry1Ba1	No	No	Lepidoptera	Manduca sexta	Yes	7130	0.19	mg/ml	 	10.1006/jipa.2000.4962		Larvae	Not Specified	Purified protein	Diet incorporation	
Cry1Ba1	No	No	Diptera	Musca domestica	Yes	7370	0.02	mg/ml	 	10.1006/jipa.2000.4962		Larvae	Not Specified	Purified protein	Diet incorporation	
Cry1Ba1	No	No	Coleoptera	Acanthoscelides obtectus 	Yes	200917	 	 	0.01	10.1016/j.jip.2019.107295		Adult	Not applicable	Other (add to comments)	Surface contamination	solubilised proteins used
Cry1Bb1	No	No	Lepidoptera	Helicoverpa armigera	No	29058	greater than 4000	ng/cm2		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Bb1	No	No	Lepidoptera	Helicoverpa punctigera	No	27545	greater than 4000	ng/cm2		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Bc1	No	No	Diptera	Musca domestica	Yes	7370	79.4	µg/ml	 	10.1006/jipa.1997.4720		Larvae	Not Specified	Purified protein	Diet incorporation	
Cry1Bc1	No	No	Diptera	Chrysomya albiceps	Yes	81419	807	µg/ml	 	10.1006/jipa.1997.4720		Larvae	Not Specified	Purified protein	Diet incorporation	
Cry1Bc1	No	No	Diptera	Lucilia cuprina	Yes	7375	308	µg/ml		10.1006/jipa.1997.4720		Larvae	Not Specified	Purified protein	Diet incorporation	
Cry1Bh1	No	No	Lepidoptera	Helicoverpa zea	Yes	7113			"3% at 9	000 µg/cm2"	10.1128/AEM.01979-13		larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Bh1	No	No	Lepidoptera	Heliothis virescens	Yes	7102			"100% at 3	000 µg/cm2"	10.1128/AEM.01979-13		larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Bh1	No	No	Lepidoptera	Ostrinia nubilalis	Yes	29057			"69% at 3	000 µg/cm2"	10.1128/AEM.01979-13		larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Bh1	No	No	Lepidoptera	Plutella xylostella	Yes	51655			"100% at 9	000 µg/cm2"	10.1128/AEM.01979-13		larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Bh1	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			7% at 400 µg/cm2	10.1128/AEM.01979-13		larvae	1st Instar	Purified protein	Diet incorporation	
Cry1C	No	No	Lepidoptera	Plutella xylostella	Yes	51655	12.2	ng/ml			Biopesticides International 3(1):58-70	unknown			leaf dip	Field populations tested and LC50 varied widely by origin ofinsect from 12.2ng/ml to 108.7ng/ml
Cry1C	No	No	Lepidoptera	Spodoptera littoralis	Yes	7109	500	ng/ml		10.1128/AEM.62.10.3581-3586.1996		Larvae	1st instar	Purified crystals	diet incorporation	LC50 of 0.5 g/ml to give 50% reduction in larval weight
Cry1C	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	1448000	ng/ml		10.1111/j.1472-765X.2005.01712.x		Larvae	1st instar	Spore crystal mix	diet incorporation	
Cry1C	No	No	Lepidoptera	Leucoptera coffeella	No	1178041	greater than 100	µg/ml		10.1007/pl00006763		Larvae	1st instar	Purified activated protein	Leaf disc injection	
Cry1C	No	No	Lepidoptera	Spodoptera exigua	Yes	7107	2720	ng/cm2		10.1016/S2095-3119(12)60050-1		Larvae	1st Instar		surface contamination	
Cry1C	No	No	Lepidoptera	Spodoptera exigua	Yes	7107	1466000	ng/ml		10.1111/j.1472-765X.2005.01712.x		Larvae	1st instar	Spore crystal mix	diet incorporation	
Cry1Ca	No	No	Lepidoptera	Spodoptera exigua	Yes	7107	134	ng/cm2		10.1002/ps.6157		larvae	2-3 day old	Purified protein	Surface contamination	
Cry1Ca	No	No	Lepidoptera	Diatraea saccharalis	Yes	40085	280	ng/cm2		10.1371/journal.pone.0107196		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca	No	No	Lepidoptera	Cydia pomonella	Yes	82600	777	ng/cm2		10.1002/ps.6157		larvae	1st instar	Purified protein	Surface contamination	
Cry1Ca	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	690.94	ng/larva		10.1016/j.jip.2014.06.005		Larvae	1st Instar	Purified crystals	droplet feeding	
Cry1Ca	No	No	Lepidoptera	Sesamia inferens	Yes	492764	300	ng/g		10.1016/j.jip.2010.05.002		unknown		Purified protein	diet incorporation	
Cry1Ca	No	No	Lepidoptera	Chilo suppressalis	Yes	168631	240	ng/g		10.1016/j.jip.2010.05.002		unknown		Purified protein	diet incorporation	
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	52	ng/cm2		10.1371/journal.pone.0107196		Larvae	1st instar	Purified crystals	Surface contamination	
Cry1Ca	No	No	Lepidoptera	Grapholita molesta	Yes	192188	57	ng/cm2		10.1016/j.jip.2016.09.006		Larvae	1st Instar	Purified crystals	surface contamination	
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	1.52	µg/cm2		10.1007/s12010-019-02952-z		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1Ca	No	No	Lepidoptera	Elasmopalpus lignosellus	Yes	1511197	36.1	ng/cm2		10.7717/peerj.2866		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	25	ng/cm2		10.1128/AEM.02871-15		Larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	27.5	ng/cm2		10.1128/AEM.02871-15		Larvae	1st Instar	Purified protein	Diet incorporation	
Cry1Ca	No	No	Lepidoptera	Diatraea flavipennella	Yes	1813784	64	ng/cm2		10.7717/peerj.2866		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca	No	No	Lepidoptera	Anticarsia gemmatalis	Yes	129554	23400	ng/cm2		10.1590/S0100-204X2014000200001¬†		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca	No	No	Lepidoptera	Chrysodeixis includens	Yes	689277	7300	ng/cm2		10.1590/S0100-204X2014000200001¬†		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	21	ng/cm2		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	Sf strain from Brazil
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	84	ng/cm2		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	Sf strain from Mexico
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	42	ng/cm2		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	
Cry1Ca	No	No	Lepidoptera	Epinotia aporema	Yes	437486	4550	ng/ml		10.1016/j.jip.2006.09.002		Larvae	1st Instar	Purified crystals	diet incorporation	
Cry1Ca	No	No	Lepidoptera	Spodoptera exigua	Yes	7107			approx 15% at 600ng/cm2 	10.1002/ps.1798		Larvae	1st Instar	Purified protein	surface contamination	Mortality observed after 7 days
Cry1Ca	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108			75% at 50 mg/ml	10.5539/jas.v6n7p128		Larvae	2 day old	Purified protein	diet incorporation	
Cry1Ca	No	No	Lepidoptera	Heliothis virescens	Yes	7102	3100	ng/cm2		10.1371/journal.pone.0107196		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca1	No	No	Diptera	Anopheles gambiae	Yes	7165	143	µg/ml		10.1128/aem.62.2.680-684.1996		Larvae	Not specified	Purified protein	Addition to cell culture	"LC50 of 283 observed at 24 hours	 LC50 of 143 observed at 48 hours"
Cry1Ca1	No	No	Diptera	Aedes aegypti	Yes	7159	90	µg/ml		10.1128/aem.62.2.680-684.1996		Larvae	Not specified	Purified protein	Addition to cell culture	"LC50 of 141 observed at 24 hours	 LC50 of 90 observed at 48 hours "
Cry1Ca1	No	No	Lepidoptera	Helicoverpa armigera	No	29058	greater than 4001	ng/cm2		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca1	No	No	Lepidoptera	Helicoverpa punctigera	No	27545	greater than 4000	ng/cm2		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ca1	No	No	Lepidoptera	Spodoptera littoralis	Yes	7109	109.3	 ng/cm		10.1128/aem.62.2.680-684.1996		Larvae	1st Instar 	Purified protein	Addition to cell culture	
Cry1Ca1	No	No	Diptera	Culex quinquefasciatus	Yes	7176	126	µg/ml		10.1128/aem.62.2.680-684.1996		Larvae	Not specified	Purified protein	Addition to cell culture	
Cry1Ca16	No	No	Diptera	Aedes aegypti	Yes	7159	4.61	µg/ml	 	10.1093/jme/tjaa116		Larvae	4th Instar	Purified Crystals	Addition to Water	
Cry1Cb2	No	No	Hemiptera	Myzus persicae	Yes	13164	9.01 (7.87-10.7)	µg/ml		10.1016/j.jip.2022.107731		Nymph		Spore-crystal mixture	Membrane feeding	
Cry1Da	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	7	ng/cm2		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	Sf strain from Brazil
Cry1Da	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	80	ng/cm2		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	
Cry1Da	No	No	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.5539/jas.v6n7p128		Larvae	2 day old	Purified protein	diet incorporation	at 100mg/ml
Cry1Da	No	No	Lepidoptera	Epinotia aporema	No	437486	greater than 16000	ng/ml		10.1016/j.jip.2006.09.002		Larvae	1st Instar	Purified crystals	diet incorporation	
Cry1Da	No	No	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.1128/AEM.01454-06		Larvae	1st Instar	Spore crystal mix	Surface contamination	greater than 2000 ng/cm2
Cry1E	No	No	Lepidoptera	Leucoptera coffeella	No	1178041	greater than 1000	µg/ml		10.1007/pl00006763		Larvae	1st instar	Purified activated protein	Leaf disc injection	
Cry1Ea	No	No	Lepidoptera	Chrysodeixis includens	Yes	689277	17700	ng/cm2		10.1590/S0100-204X2014000200001¬†		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ea	No	No	Lepidoptera	Anticarsia gemmatalis	Yes	129554				10.1590/S0100-204X2014000200001¬†		Larvae	1st instar	Cell lysate	surface contamination	
Cry1Ea	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	3.07	µg/cm2		10.1007/s12010-019-02952-z		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1Ea	No	No	Lepidoptera	Anticarsia gemmatalis	Yes	129554	52200	ng/cm2		10.1590/S0100-204X2014000200001¬†		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ea1	No	No	Lepidoptera	Helicoverpa armigera	No	29058	greater than 4002	ng/cm2		10.1016/s0022-2011(02)00035-6		Larvae	1st instar	Purified crystals	surface contamination	
Cry1Ea11	No	No	Nematoda	Bursaphelenchus xylophilus	Yes	6326	32.53	µg/ml	 	10.1094/PHYTO-05-17-0179-R		Not specified	Not specified	Purified protein	Diet incorporation	Use of recombinant bacterial products in vivo
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	131.601	ng/cm2		10.1371/journal.pone.0154492		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	0.11	µg/cm2		10.1002/ps.4805		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	124.9	ng/cm2		10.1002/ps.4776		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	75.9	ng/cm2		10.1016/j.jip.2012.04.007		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	58.7	ng/cm2		10.1093/jee/tox146		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	0.37	µg/g		10.1371/journal.pone.0112958		Larvae	1st Instar	Purified protein	Diet incorporation	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	0.52	µg/cm2		10.1016/j.ibmb.2019.01.002		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	565	ng/cm2		10.1093/jee/tox311		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	211.3	ng/cm2		10.1093/jee/tox311		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	428	ng/cm2		10.1603/ec10040		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	25.1	ng/cm2		10.1093/jee/toz280		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	174.4	ng/cm2		10.3390/insects11120831		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Helicoverpa armigera	Yes	29058	870	µg/cm2			"Current Science (1998)	 75(7) p663-664"	Larvae	1st instar	Purified protein	surface contamination	Results presented as EC50.  Synergism with Cry1Ac reported
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	0.59	µg/g		10.1002/ps.4644		Larvae	1st Instar	Purified protein	Diet incorporation	
Cry1F	No	No	Lepidoptera	Ostrinia nubilalis	Yes	29057			62.5% at 400ng/ml 	10.1093/jisesa/iex003		Larvae	1st instar	Diluted whole cell culture	diet incorporation	Mortality observed after 5 days 
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108			53.6% at 1000ng/ml	10.1093/jisesa/iex003		Larvae	1st instar	Diluted whole cell culture	diet incorporation	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	0.28	µg/cm2		10.1002/ps.6224		Larvae	1st Instar	Purified protein	Surface contamination	
Cry1F	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108	63.7	ng/cm2		10.1016/j.jip.2012.04.007		Larvae	1st Instar	Purified protein	Surface contamination	
